station_name,region,operator,tlc,entries_exits_total,entries_exits_full,entries_exits_reduced,entries_exits_season,interchanges,rank
Hitchin,East of England,Govia Thameslink Railway (Great Northern),HIT,2940178,1085160,1367484,487534,170803,184
Exeter St David's,South West,Great Western Railway,EXD,2922288,527074,2228080,167134,1524885,185
Queens Road (Peckham),London,Govia Thameslink Railway (Southern),QRP,2914668,917448,1500712,496508,13021,186
Hull,Yorkshire and The Humber,TransPennine Express,HUL,2908428,177312,2563304,167812,75196,187
Hither Green,London,Southeastern,HGR,2899052,975078,1412890,511084,212143,188
Gravesend,South East,Southeastern,GRV,2886256,957912,1303374,624970,277082,189
Didcot Parkway,South East,Great Western Railway,DID,2884000,511998,1792676,579326,669914,190
Imperial Wharf,London,London Overground,IMW,2859328,978638,1362366,518324,0,191
Northampton,East Midlands,West Midlands Trains (London Northwestern Railway),NMP,2847378,458918,2033580,354880,1079,192
Canonbury,London,London Overground,CNN,2834562,883274,1683054,268234,835651,193
Kensington Olympia,London,London Overground,KPA,2831588,936092,1468482,427014,14596,194
Darlington,North East,London North Eastern Railway,DAR,2827176,191340,2505640,130196,612574,195
Newport (South Wales),Wales,TfW Rail,NWP,2817472,1251652,1364038,201782,563224,196
Durham,North East,London North Eastern Railway,DHM,2809984,34778,2666624,108582,3612,197
Harpenden,East of England,Govia Thameslink Railway (Thameslink),HPD,2806312,940442,1454700,411170,5864,198
Crystal Palace,London,London Overground,CYP,2781506,905330,1489250,386926,156806,199
Purley,London,Govia Thameslink Railway (Southern),PUR,2777102,944790,1420002,412310,576772,200
Streatham Common,London,Govia Thameslink Railway (Southern),SRC,2765402,820384,1192456,752562,91029,201
Elstree and Borehamwood,East of England,Govia Thameslink Railway (Thameslink),ELS,2760150,1067644,1261884,430622,0,202
Stratford International,London,HS1 Ltd,SFA,2738944,593420,1799138,346386,214467,203
Highams Park,London,London Overground,HIP,2737710,1014412,1501000,222298,0,204
Canterbury West,South East,Southeastern,CBW,2723706,589160,1741080,393466,158448,205
Acton Main Line,London,Elizabeth line,AML,2699464,873976,1520638,304850,0,206
