station_name,region,operator,tlc,entries_exits_total,entries_exits_full,entries_exits_reduced,entries_exits_season,interchanges,rank
Rainham (Kent),South East,Southeastern,RAI,1702048,406786,766140,529122,7214,330
Beckenham Junction,London,Southeastern,BKJ,1694068,600402,816360,277306,65489,331
Hanwell,London,Elizabeth line,HAN,1691400,602034,949444,139922,0,332
Leigh-On-Sea,East of England,c2c,LES,1689868,671144,772654,246070,0,333
Godalming,South East,South Western Railway,GOD,1687572,806662,562566,318344,0,334
Burgess Hill,South East,Govia Thameslink Railway (Southern),BUG,1676614,377998,855536,443080,0,335
Hornsey,London,Govia Thameslink Railway (Great Northern),HRN,1664926,558296,873334,233296,0,336
Birkenhead Hamilton Square,North West,Merseyrail,BKQ,1657330,739196,683436,234698,330845,337
Deptford,London,Southeastern,DEP,1643802,455522,830204,358076,0,338
Rochdale,North West,Northern Trains,RCD,1629872,450446,887352,292074,74104,339
Kidbrooke,London,Southeastern,KDB,1620822,572666,691796,356360,0,340
Taunton,South West,Great Western Railway,TAU,1615614,275108,1262002,78504,82424,341
Hemel Hempstead,East of England,West Midlands Trains (London Northwestern Railway),HML,1610586,531272,896728,182586,11101,342
Wallington,London,Govia Thameslink Railway (Southern),WLT,1609134,590292,760920,257922,0,343
Formby,North West,Merseyrail,FBY,1606086,314606,1073924,217556,0,344
Kirkby (Merseyside),North West,Merseyrail,KIR,1605216,162280,1136938,305998,6943,345
Portsmouth and Southsea,South East,South Western Railway,PMS,1585586,307740,1128162,149684,26477,346
Acton Central,London,London Overground,ACC,1574010,514990,845964,213056,0,347
Huntingdon,East of England,Govia Thameslink Railway (Great Northern),HUN,1572480,497318,877800,197362,0,348
Caledonian Road and Barnsbury,London,London Overground,CIR,1566788,496922,843958,225908,0,349
Bethnal Green,London,London Overground,BET,1564066,485822,821092,257152,0,350
Blundellsands and Crosby,North West,Merseyrail,BLN,1563538,327068,973250,263220,0,351
Charing Cross (Glasgow),Scotland,ScotRail,CHC,1562948,575482,791212,196254,0,352
Palmers Green,London,Govia Thameslink Railway (Great Northern),PAL,1557022,571424,787106,198492,0,353
Harlesden,London,London Underground,HDN,1553164,427076,850238,275850,0,354
Rayleigh,East of England,Greater Anglia,RLG,1552860,643110,576932,332818,0,355
St James Street (Walthamstow),London,London Overground,SJS,1551778,493618,897624,160536,0,356
Leyton Midland Road,London,London Overground,LEM,1551332,465554,802210,283568,0,357
Mortlake,London,South Western Railway,MTL,1546638,618192,715888,212558,0,358
Middlesbrough,North East,TransPennine Express,MBR,1543226,233030,1160468,149728,86879,359
Newbury,South East,Great Western Railway,NBY,1538658,328416,958432,251810,130672,360
Welling,London,Southeastern,WLI,1527888,566132,683968,277788,0,361
Faversham,South East,Southeastern,FAV,1525470,347456,672968,505046,158923,362
Rainham (Essex),London,c2c,RNM,1525196,630848,747016,147332,0,363
Leighton Buzzard,East of England,West Midlands Trains (London Northwestern Railway),LBZ,1523698,371360,776258,376080,0,364
Swanley,South East,Southeastern,SAY,1523582,585334,800782,137466,180928,365
Barnsley,Yorkshire and The Humber,Northern Trains,BNY,1519762,448370,881802,189590,30321,366
Waterloo (Merseyside),North West,Merseyrail,WLO,1508982,350506,924174,234302,0,367
West Norwood,London,Govia Thameslink Railway (Southern),WNW,1507342,497732,731374,278236,34525,368
Leagrave,East of England,Govia Thameslink Railway (Thameslink),LEA,1496012,338516,861236,296260,0,369
Farnham,South East,South Western Railway,FNH,1494080,552858,711262,229960,28809,370
Bexhill,South East,Govia Thameslink Railway (Southern),BEX,1488932,278000,583912,627020,0,371
Macclesfield,North West,Avanti West Coast,MAC,1486408,292706,1112038,81664,8728,372
Grantham,East Midlands,London North Eastern Railway,GRA,1484114,92152,1229574,162388,304676,373
Lee (London),London,Southeastern,LEE,1482668,492542,685350,304776,0,374
Leatherhead,South East,Govia Thameslink Railway (Southern),LHD,1480646,534418,641486,304742,12718,375
Bexleyheath,London,Southeastern,BXH,1475374,584162,690474,200738,0,376
Stourbridge Junction,West Midlands,West Midlands Trains (West Midlands Railway),SBJ,1471990,325244,649104,497642,319696,377
Hampton Court,South East,South Western Railway,HMC,1469460,542664,795488,131308,0,378
Warrington Bank Quay,North West,Avanti West Coast,WBQ,1468418,402340,973608,92470,394616,379
Stoke Newington,London,London Overground,SKW,1465574,462112,829684,173778,0,380
Cambridge North,East of England,Greater Anglia,CMB,1459946,508908,783006,168032,2070,381
Enfield Lock,London,Greater Anglia,ENL,1459366,509482,841566,108318,0,382
Haslemere,South East,South Western Railway,HSL,1457816,415020,610390,432406,62499,383
Bradford Forster Square,Yorkshire and The Humber,Northern Trains,BDQ,1457418,497974,636662,322782,35780,384
Southampton Airport Parkway,South East,South Western Railway,SOA,1444254,300996,1016526,126732,122226,385
Kenton,London,London Underground,KNT,1438022,341974,845562,250486,0,386
Upper Holloway,London,London Overground,UHL,1425670,430250,668500,326920,0,387
Harringay Green Lanes,London,London Overground,HRY,1425034,367168,739864,318002,0,388
Worcester Park,London,South Western Railway,WCP,1422222,533626,657538,231058,0,389
Loughborough,East Midlands,East Midlands Railway,LBO,1421786,334562,933392,153832,13159,390
Falmer,South East,Govia Thameslink Railway (Southern),FMR,1421366,406994,876962,137410,0,391
Royston,East of England,Govia Thameslink Railway (Great Northern),RYS,1415838,455700,689522,270616,18806,392
Headbolt Lane,North West,Merseyrail,HBL,1410668,165982,1007974,236712,17871,393
Winchmore Hill,London,Govia Thameslink Railway (Great Northern),WIH,1408426,554772,708430,145224,0,394
Keighley,Yorkshire and The Humber,Northern Trains,KEI,1405910,456682,622284,326944,1285,395
Croy,Scotland,ScotRail,CRO,1402586,522822,726954,152810,0,396
Gipsy Hill,London,Govia Thameslink Railway (Southern),GIP,1401264,513162,646422,241680,0,397
Fleet,South East,South Western Railway,FLE,1400680,461512,667054,272114,720,398
Hunts Cross,North West,Merseyrail,HNX,1400326,301010,883598,215718,5915,399
Maze Hill,London,Southeastern,MZH,1397904,486190,744504,167210,0,400
Hyndland,Scotland,ScotRail,HYN,1389628,479368,743584,166676,989587,401
Bletchley,South East,West Midlands Trains (London Northwestern Railway),BLY,1385658,406610,756486,222562,72052,402
Southend Victoria,East of England,Greater Anglia,SOV,1385546,315794,707358,362394,0,403
Clapham High Street,London,London Overground,CLP,1383296,492914,643642,246740,0,404
Bridgend,Wales,TfW Rail,BGN,1379566,708444,459572,211550,55517,405
Ramsgate,South East,Southeastern,RAM,1375656,214068,745422,416166,186228,406
Mottingham,London,Southeastern,MTG,1374680,444362,609818,320500,0,407
Aldershot,South East,South Western Railway,AHT,1371112,447070,747996,176046,105047,408
Crawley,South East,Govia Thameslink Railway (Southern),CRW,1370856,445682,692228,232946,2404,409
Kew Gardens,London,London Underground,KWG,1368612,383408,875970,109234,0,410
Bruce Grove,London,London Overground,BCV,1364934,397082,746310,221542,0,411
Watford High Street,East of England,London Overground,WFH,1363368,228312,1110616,24440,0,412
Wigan North Western,North West,Avanti West Coast,WGN,1359554,299754,907402,152398,894090,413
Ilkley,Yorkshire and The Humber,Northern Trains,ILK,1358126,398082,437020,523024,0,414
South Tottenham,London,London Overground,STO,1357436,321884,662772,372780,0,415
Stonebridge Park,London,London Underground,SBP,1355426,374448,790302,190676,0,416
Nuneaton,West Midlands,West Midlands Trains (London Northwestern Railway),NUN,1353578,401154,830904,121520,601480,417
Oxted,South East,Govia Thameslink Railway (Southern),OXT,1336338,339896,491386,505056,0,418
East Dulwich,London,Govia Thameslink Railway (Southern),EDW,1335792,475002,650334,210456,0,419
Newton Abbot,South West,Great Western Railway,NTA,1334872,216908,915078,202886,514502,420
St Mary Cray,London,Southeastern,SMY,1334744,458700,593146,282898,0,421
Truro,South West,Great Western Railway,TRU,1334668,208340,922356,203972,283377,422
Rectory Road,London,London Overground,REC,1325536,468404,742118,115014,0,423
Berkhamsted,East of England,West Midlands Trains (London Northwestern Railway),BKM,1322820,460066,671266,191488,0,424
Mitcham Eastfields,London,Govia Thameslink Railway (Southern),MTC,1318094,406910,523582,387602,0,425
Horley,South East,Govia Thameslink Railway (Southern),HOR,1312392,543464,586158,182770,0,426
Salford Crescent,North West,Northern Trains,SLD,1306766,438250,720634,147882,175992,427
Shoreham-By-Sea,South East,Govia Thameslink Railway (Southern),SSE,1302590,307008,726130,269452,0,428
Five Ways,West Midlands,West Midlands Trains (West Midlands Railway),FWY,1302172,450394,483174,368604,0,429
Maghull,North West,Merseyrail,MAG,1299672,223844,892082,183746,0,430
Blackburn,North West,Northern Trains,BBN,1297980,247984,907632,142364,82591,431
Waltham Cross,East of England,Greater Anglia,WLC,1297696,490702,708058,98936,0,432
Whitton (London),London,South Western Railway,WTN,1291066,482244,631970,176852,0,433
Margate,South East,Southeastern,MAR,1287330,179818,945484,162028,9245,434
Skipton,Yorkshire and The Humber,Northern Trains,SKI,1286418,356470,660820,269128,11602,435
Chalkwell,East of England,c2c,CHW,1286264,496804,516258,273202,0,436
Argyle Street,Scotland,ScotRail,AGS,1279026,365242,815214,98570,0,437
Flitwick,East of England,Govia Thameslink Railway (Thameslink),FLT,1276900,347654,637870,291376,0,438
New Barnet,London,Govia Thameslink Railway (Great Northern),NBA,1272760,512630,591758,168372,0,439
Southend East,East of England,c2c,SOE,1272114,289940,649448,332726,0,440
Radlett,East of England,Govia Thameslink Railway (Thameslink),RDT,1270406,486946,655708,127752,0,441
Charlton,London,Southeastern,CTN,1269452,373086,658886,237480,20420,442
Warrington Central,North West,Northern Trains,WAC,1268378,347530,840974,79874,81594,443
Ladywell,London,Southeastern,LAD,1254886,387552,657234,210100,0,444
Hassocks,South East,Govia Thameslink Railway (Southern),HSK,1254686,295406,657220,302060,0,445
Wigan Wallgate,North West,Northern Trains,WGW,1253014,276264,836294,140456,286727,446
Wilmslow,North West,Northern Trains,WML,1248708,360870,709356,178482,110393,447
Kidderminster,West Midlands,West Midlands Trains (West Midlands Railway),KID,1242114,306594,455136,480384,0,448
Walsall,West Midlands,West Midlands Trains (West Midlands Railway),WSL,1240358,394864,572472,273022,5246,449
Tamworth,West Midlands,West Midlands Trains (London Northwestern Railway),TAM,1240246,483594,659442,97210,358577,450
West Kirby,North West,Merseyrail,WKI,1235638,219772,923342,92524,0,451
Penge East,London,Southeastern,PNE,1235544,433718,617372,184454,93,452
Loughborough Junction,London,Govia Thameslink Railway (Thameslink),LGJ,1233640,432844,598054,202742,0,453
North Wembley,London,London Underground,NWB,1231422,330106,741250,160066,0,454
Hereford,West Midlands,TfW Rail,HFD,1229916,275022,642070,312824,45539,455
Bushey,East of England,London Overground,BSH,1225400,483652,686182,55566,0,456
Carpenders Park,East of England,London Overground,CPK,1224684,355038,819514,50132,0,457
Petersfield,South East,South Western Railway,PTR,1221202,264422,664782,291998,6732,458
Selhurst,London,Govia Thameslink Railway (Southern),SRS,1217928,359212,577600,281116,809,459
Barking Riverside,London,London Overground,BGV,1209476,433754,619524,156198,0,460
Shipley (Yorks),Yorkshire and The Humber,Northern Trains,SHY,1195542,381104,594220,220218,329396,461
New Brighton,North West,Merseyrail,NBN,1192234,307752,726108,158374,0,462
Eastleigh,South East,South Western Railway,ESL,1191848,316796,672092,202960,106994,463
Bush Hill Park,London,London Overground,BHK,1188288,476546,646324,65418,0,464
Mount Florida,Scotland,ScotRail,MFL,1184706,409762,655858,119086,5394,465
Telford Central,West Midlands,West Midlands Trains (West Midlands Railway),TFC,1177576,384078,636400,157098,3835,466
Inverness,Scotland,ScotRail,INV,1172640,458864,691072,22704,54976,467
West Byfleet,South East,South Western Railway,WBY,1172146,396874,498856,276416,0,468
Canterbury East,South East,Southeastern,CBE,1170446,253176,748188,169082,38101,469
Reigate,South East,Govia Thameslink Railway (Southern),REI,1168558,420028,478210,270320,0,470
Strood (Kent),South East,Southeastern,SOO,1167638,400476,477158,290004,534077,471
Enfield Chase,London,Govia Thameslink Railway (Great Northern),ENC,1166152,421676,612538,131938,1254,472
Kew Bridge,London,South Western Railway,KWB,1162156,407674,548290,206192,0,473
Langley (Berks),South East,Elizabeth line,LNY,1153338,376078,584910,192350,0,474
Gordon Hill,London,Govia Thameslink Railway (Great Northern),GDH,1152836,452504,563634,136698,0,475
Leytonstone High Road,London,London Overground,LER,1151934,330756,614872,206306,0,476
High Brooms,South East,Southeastern,HIB,1148824,286848,605026,256950,0,477
Beaconsfield,South East,Chiltern Railways,BCF,1146906,325494,564192,257220,0,478
Pitsea,East of England,c2c,PSE,1143894,375438,580132,188324,191581,479
Windsor and Eton Riverside,South East,South Western Railway,WNR,1143218,254748,818848,69622,29022,480
Andover,South East,South Western Railway,ADV,1141420,213592,734340,193488,7053,481
Harringay,London,Govia Thameslink Railway (Great Northern),HGY,1140210,385274,620296,134640,0,482
Johnstone (Renfrewshire),Scotland,ScotRail,JHN,1139862,357514,635070,147278,0,483
Carshalton,London,Govia Thameslink Railway (Southern),CSH,1139060,440462,530320,168278,0,484
Kettering,East Midlands,East Midlands Railway,KET,1136558,185688,730584,220286,431919,485
Brimsdown,London,Greater Anglia,BMD,1135474,398618,614730,122126,0,486
Shortlands,London,Southeastern,SRT,1128652,464622,479280,184750,7369,487
Preston Park,South East,Govia Thameslink Railway (Southern),PRP,1126092,382282,570484,173326,0,488
Tilbury Town,East of England,c2c,TIL,1110752,302408,534246,274098,22660,489
Fazakerley,North West,Merseyrail,FAZ,1107238,206890,630254,270094,0,490
Newton-Le-Willows,North West,Northern Trains,NLW,1106560,287888,713530,105142,363013,491
Slade Green,London,Southeastern,SGR,1103814,377306,494650,231858,43117,492
Gerrards Cross,South East,Chiltern Railways,GER,1102694,352076,582836,167782,31531,493
East Grinstead,South East,Govia Thameslink Railway (Southern),EGR,1100494,328396,460202,311896,0,494
Bexley,London,Southeastern,BXY,1096808,456224,497430,143154,0,495
Paddock Wood,South East,Southeastern,PDW,1090192,267216,499186,323790,169808,496
South Croydon,London,Govia Thameslink Railway (Southern),SCY,1088648,459796,456492,172360,0,497
Crayford,London,Southeastern,CRY,1086958,438370,455694,192894,0,498
Bognor Regis,South East,Govia Thameslink Railway (Southern),BOG,1086762,207364,614748,264650,0,499
St Neots,East of England,Govia Thameslink Railway (Great Northern),SNO,1081866,357386,550230,174250,0,500
Polegate,South East,Govia Thameslink Railway (Southern),PLG,1079980,139034,643256,297690,0,501
Newark Northgate,East Midlands,London North Eastern Railway,NNG,1078800,225600,755634,97566,141774,502
Hertford East,East of England,Greater Anglia,HFE,1076556,418142,534500,123914,0,503
Wanstead Park,London,London Overground,WNP,1071144,265082,517922,288140,26795,504
Ware (Herts),East of England,Greater Anglia,WAR,1068458,460584,508666,99208,0,505
Brondesbury Park,London,London Overground,BSP,1067324,366208,565644,135472,0,506
Clock House,London,Southeastern,CLK,1067284,384874,548876,133534,901,507
Birkdale,North West,Merseyrail,BDL,1064598,153734,768662,142202,0,508
Linlithgow,Scotland,ScotRail,LIN,1058874,433050,563242,62582,0,509
Westcliff,East of England,c2c,WCF,1056440,315986,552816,187638,0,510
Northumberland Park,London,Greater Anglia,NUM,1052358,264956,616928,170474,0,511
Cambridge Heath,London,London Overground,CBH,1050568,312672,588048,149848,0,512
Sandhills,North West,Merseyrail,SDL,1049448,346680,471270,231498,842213,513
